ask_price,bid_price,creation_time,expiry_date,instrument_name,option_type,strike_price,underlying_price,volume
,,07-16-2019,07-26-2019,BTC-26JUL19-20000-P,P,20000,10738.546269063676,0.0
,,07-16-2019,07-26-2019,BTC-26JUL19-19000-P,P,19000,10738.546269063676,0.0
0.001,,07-16-2019,07-26-2019,BTC-26JUL19-5500-P,P,5500,10738.546269063676,0.0
0.05,0.044,07-16-2019,12-27-2019,BTC-27DEC19-30000-C,C,30000,11016.52,5.9
0.001,,07-16-2019,09-27-2019,BTC-27SEP19-1500-P,P,1500,10854.73,0.0
0.063,0.0575,07-16-2019,12-27-2019,BTC-27DEC19-6500-P,P,6500,11016.52,1.0
0.0015,,07-16-2019,07-26-2019,BTC-26JUL19-19000-C,C,19000,10738.546269063676,0.0
0.241,0.23,07-16-2019,12-27-2019,BTC-27DEC19-12000-C,C,12000,11017.06,17.7
0.556,0.454,07-16-2019,09-27-2019,BTC-27SEP19-5500-C,C,5500,10854.73,0.0
0.273,0.19,07-16-2019,07-26-2019,BTC-26JUL19-13000-P,P,13000,10738.546269063676,0.0
0.1945,0.116,07-16-2019,07-26-2019,BTC-26JUL19-12000-P,P,12000,10738.546269063676,6.0
0.33,0.316,07-16-2019,12-27-2019,BTC-27DEC19-12000-P,P,12000,11016.52,7.5
0.066,0.0635,07-16-2019,07-26-2019,BTC-26JUL19-11000-C,C,11000,10738.546269063676,62.0
0.5495,0.2155,07-16-2019,12-27-2019,BTC-27DEC19-7000-C,C,7000,11016.52,0.0
0.007,0.005,07-16-2019,07-26-2019,BTC-26JUL19-8000-P,P,8000,10738.546269063676,46.8
,,07-16-2019,09-27-2019,BTC-27SEP19-32000-P,P,32000,10854.73,0.0
0.003,0.0015,07-16-2019,07-19-2019,BTC-19JUL19-13000-C,C,13000,10725.582521210443,38.6
0.022,0.0185,07-16-2019,09-27-2019,BTC-27SEP19-24000-C,C,24000,10855.27,0.0
0.0105,0.008,07-16-2019,07-19-2019,BTC-19JUL19-12000-C,C,12000,10725.582521210443,48.6
0.739,0.0045,07-16-2019,09-27-2019,BTC-27SEP19-3750-C,C,3750,10854.73,0.0
0.6915,0.0045,07-16-2019,09-27-2019,BTC-27SEP19-4750-C,C,4750,10854.73,0.0
0.0095,0.0065,07-16-2019,09-27-2019,BTC-27SEP19-32000-C,C,32000,10854.73,42.5
0.0455,0.042,07-16-2019,07-26-2019,BTC-26JUL19-10000-P,P,10000,10738.546269063676,56.0
0.005,0.003,07-16-2019,09-27-2019,BTC-27SEP19-4250-P,P,4250,10855.27,25.0
0.149,0.1425,07-16-2019,09-27-2019,BTC-27SEP19-12000-C,C,12000,10854.73,22.5
0.303,0.218,07-16-2019,07-26-2019,BTC-26JUL19-8000-C,C,8000,10738.546269063676,0.0
0.1665,0.09,07-16-2019,07-19-2019,BTC-19JUL19-12000-P,P,12000,10725.582521210443,0.0
,,07-16-2019,12-27-2019,BTC-27DEC19-30000-P,P,30000,11016.52,0.0
,,07-16-2019,12-27-2019,BTC-27DEC19-48000-P,P,48000,11016.52,0.0
0.014,0.011,07-16-2019,09-27-2019,BTC-27SEP19-28000-C,C,28000,10854.73,0.4
0.0585,0.055,07-16-2019,07-19-2019,BTC-19JUL19-11000-P,P,11000,10725.582521210443,19.8
0.3025,0.2175,07-16-2019,07-19-2019,BTC-19JUL19-13500-P,P,13500,10725.044632180154,0.0
1.324,0.0045,07-16-2019,09-27-2019,BTC-27SEP19-18000-P,P,18000,10854.81,0.0
2.2195,0.004,07-16-2019,12-27-2019,BTC-27DEC19-26000-P,P,26000,11016.52,0.0
0.0375,0.035,07-16-2019,07-26-2019,BTC-26JUL19-12000-C,C,12000,10738.546269063676,7.7
0.001,0.0005,07-16-2019,07-19-2019,BTC-19JUL19-14000-C,C,14000,10725.582521210443,24.4
0.0045,0.002,07-16-2019,09-27-2019,BTC-27SEP19-4000-P,P,4000,10854.73,15.0
0.084,0.08,07-16-2019,07-19-2019,BTC-19JUL19-10000-C,C,10000,10725.582521210443,10.6
,0.0005,07-16-2019,12-27-2019,BTC-27DEC19-36000-P,P,36000,11016.52,0.0
0.0005,,07-16-2019,07-19-2019,BTC-19JUL19-15000-C,C,15000,10725.582521210443,0.1
0.726,0.111,07-16-2019,09-27-2019,BTC-27SEP19-4000-C,C,4000,10854.73,0.0
0.0055,0.004,07-16-2019,07-26-2019,BTC-26JUL19-15500-C,C,15500,10738.546269063676,0.2
0.0955,0.087,07-16-2019,07-19-2019,BTC-19JUL19-11500-P,P,11500,10725.582521210443,40.3
0.0035,0.0015,07-16-2019,09-27-2019,BTC-27SEP19-3500-P,P,3500,10854.73,0.0
0.043,0.0385,07-16-2019,12-27-2019,BTC-27DEC19-32000-C,C,32000,11016.52,0.0
0.2095,0.1305,07-16-2019,07-19-2019,BTC-19JUL19-12500-P,P,12500,10725.044632180154,0.0
0.1025,0.0965,07-16-2019,09-27-2019,BTC-27SEP19-14000-C,C,14000,10854.73,18.6
0.0615,0.056,07-16-2019,09-27-2019,BTC-27SEP19-8000-P,P,8000,10854.73,2.6
0.451,0.3565,07-16-2019,07-26-2019,BTC-26JUL19-15000-P,P,15000,10738.546269063676,0.0
0.141,0.1345,07-16-2019,09-27-2019,BTC-27SEP19-10000-P,P,10000,10854.73,59.6
0.3245,0.312,07-16-2019,09-27-2019,BTC-27SEP19-13000-P,P,13000,10854.73,0.0
0.1815,0.174,07-16-2019,09-27-2019,BTC-27SEP19-11000-C,C,11000,10854.73,8.0
0.1545,0.1465,07-16-2019,12-27-2019,BTC-27DEC19-16000-C,C,16000,11016.52,22.4
,,07-16-2019,09-27-2019,BTC-27SEP19-30000-P,P,30000,10855.27,0.0
0.007,0.005,07-16-2019,07-26-2019,BTC-26JUL19-15000-C,C,15000,10738.546269063676,6.1
0.0125,0.0095,07-16-2019,07-26-2019,BTC-26JUL19-14000-C,C,14000,10738.546269063676,65.2
0.3955,0.3805,07-16-2019,12-27-2019,BTC-27DEC19-13000-P,P,13000,11016.52,0.0
0.2115,0.152,07-16-2019,07-26-2019,BTC-26JUL19-12500-P,P,12500,10738.546269063676,0.1
0.9325,0.01,07-16-2019,09-27-2019,BTC-27SEP19-2000-C,C,2000,10854.73,0.0
,,07-16-2019,09-27-2019,BTC-27SEP19-24000-P,P,24000,10854.73,0.0
0.0975,0.0895,07-16-2019,12-27-2019,BTC-27DEC19-7500-P,P,7500,11016.52,3.0
,0.005,07-16-2019,07-26-2019,BTC-26JUL19-6500-C,C,6500,10738.546269063676,0.0
0.1715,0.1635,07-16-2019,12-27-2019,BTC-27DEC19-15000-C,C,15000,11016.52,1.1
0.09,0.0825,07-16-2019,12-27-2019,BTC-27DEC19-22000-C,C,22000,11016.52,1.2
0.7015,0.0045,07-16-2019,12-27-2019,BTC-27DEC19-5000-C,C,5000,11016.52,0.0
0.0285,0.0235,07-16-2019,12-27-2019,BTC-27DEC19-5000-P,P,5000,11016.52,0.0
0.554,0.484,07-16-2019,12-27-2019,BTC-27DEC19-6000-C,C,6000,11016.52,0.0
,,07-16-2019,07-26-2019,BTC-26JUL19-16000-P,P,16000,10738.546269063676,0.0
0.0095,0.007,07-16-2019,07-26-2019,BTC-26JUL19-14500-C,C,14500,10738.546269063676,62.9
0.436,0.342,07-16-2019,09-27-2019,BTC-27SEP19-7000-C,C,7000,10854.73,0.5
0.1145,0.109,07-16-2019,07-26-2019,BTC-26JUL19-10000-C,C,10000,10738.546269063676,25.0
0.0355,0.0315,07-16-2019,09-27-2019,BTC-27SEP19-7000-P,P,7000,10854.73,23.4
0.316,0.23,07-16-2019,07-26-2019,BTC-26JUL19-13500-P,P,13500,10738.546269063676,0.0
,,07-16-2019,09-27-2019,BTC-27SEP19-28000-P,P,28000,10855.27,0.0
0.127,0.1195,07-16-2019,12-27-2019,BTC-27DEC19-18000-C,C,18000,11016.52,2.0
0.0185,0.016,07-16-2019,07-19-2019,BTC-19JUL19-11500-C,C,11500,10725.582521210443,175.1
0.0085,0.0055,07-16-2019,09-27-2019,BTC-27SEP19-5000-P,P,5000,10855.27,29.0
0.0115,0.0095,07-16-2019,07-26-2019,BTC-26JUL19-8500-P,P,8500,10738.546269063676,31.1
0.908,0.0045,07-16-2019,09-27-2019,BTC-27SEP19-3250-C,C,3250,10854.73,0.0
0.0045,0.002,07-16-2019,12-27-2019,BTC-27DEC19-2500-P,P,2500,11017.06,0.0
0.0145,0.0105,07-16-2019,12-27-2019,BTC-27DEC19-4000-P,P,4000,11017.06,0.0
,,07-16-2019,07-26-2019,BTC-26JUL19-17000-P,P,17000,10738.546269063676,0.0
0.22,0.213,07-16-2019,09-27-2019,BTC-27SEP19-10000-C,C,10000,10855.27,4.4
0.2035,0.1245,07-16-2019,07-19-2019,BTC-19JUL19-9000-C,C,9000,10725.582521210443,0.0
0.2675,0.26,07-16-2019,09-27-2019,BTC-27SEP19-9000-C,C,9000,10855.27,2.4
1.466,0.004,07-16-2019,12-27-2019,BTC-27DEC19-20000-P,P,20000,11016.52,0.0
0.408,0.3675,07-16-2019,09-27-2019,BTC-27SEP19-14000-P,P,14000,10854.73,0.1
0.054,0.0505,07-16-2019,07-19-2019,BTC-19JUL19-10500-C,C,10500,10725.582521210443,103.5
0.0085,0.0065,07-16-2019,07-19-2019,BTC-19JUL19-9500-P,P,9500,10725.044632180154,206.7
0.0005,,07-16-2019,07-19-2019,BTC-19JUL19-14500-C,C,14500,10725.582521210443,13.1
0.4335,0.3395,07-16-2019,12-27-2019,BTC-27DEC19-8000-C,C,8000,11016.52,3.0
0.345,0.3285,07-16-2019,12-27-2019,BTC-27DEC19-9000-C,C,9000,11016.52,3.1
,0.0005,07-16-2019,07-26-2019,BTC-26JUL19-5500-C,C,5500,10738.546269063676,0.0
0.0335,0.03,07-16-2019,12-27-2019,BTC-27DEC19-36000-C,C,36000,11016.52,0.9
0.0715,0.0665,07-16-2019,09-27-2019,BTC-27SEP19-16000-C,C,16000,10854.73,16.1
0.4635,0.448,07-16-2019,12-27-2019,BTC-27DEC19-14000-P,P,14000,11017.06,1.0
0.004,0.002,07-16-2019,07-19-2019,BTC-19JUL19-9000-P,P,9000,10725.582521210443,85.0
0.01,0.006,07-16-2019,12-27-2019,BTC-27DEC19-3500-P,P,3500,11016.52,4.3
0.0375,0.0335,07-16-2019,09-27-2019,BTC-27SEP19-20000-C,C,20000,10855.27,18.6
,0.01,07-16-2019,09-27-2019,BTC-27SEP19-1500-C,C,1500,10855.27,0.0
0.0495,0.044,07-16-2019,12-27-2019,BTC-27DEC19-6000-P,P,6000,11016.52,1.6
0.128,0.1185,07-16-2019,07-26-2019,BTC-26JUL19-11500-P,P,11500,10738.546269063676,23.3
2.5,0.001,07-16-2019,12-27-2019,BTC-27DEC19-28000-P,P,28000,11016.52,0.0
1.157,0.0045,07-16-2019,09-27-2019,BTC-27SEP19-16000-P,P,16000,10854.73,0.0
0.0185,0.015,07-16-2019,09-27-2019,BTC-27SEP19-6000-P,P,6000,10854.73,26.8
0.0045,0.0025,07-16-2019,07-26-2019,BTC-26JUL19-7500-P,P,7500,10738.546269063676,37.0
0.0045,0.0025,07-16-2019,07-26-2019,BTC-26JUL19-16000-C,C,16000,10738.546269063676,43.4
0.106,0.0985,07-16-2019,12-27-2019,BTC-27DEC19-20000-C,C,20000,11016.52,3.0
0.0295,0.0265,07-16-2019,07-26-2019,BTC-26JUL19-9500-P,P,9500,10738.546269063676,15.3
0.4845,0.4155,07-16-2019,09-27-2019,BTC-27SEP19-6000-C,C,6000,10854.73,0.0
0.9725,0.0115,07-16-2019,12-27-2019,BTC-27DEC19-4500-C,C,4500,11016.52,0.0
0.219,0.1395,07-16-2019,07-26-2019,BTC-26JUL19-9000-C,C,9000,10738.546269063676,2.8
0.6695,0.594,07-16-2019,12-27-2019,BTC-27DEC19-4000-C,C,4000,11017.06,0.3
0.536,0.5185,07-16-2019,12-27-2019,BTC-27DEC19-15000-P,P,15000,11016.52,0.0
0.9695,0.0055,07-16-2019,12-27-2019,BTC-27DEC19-5500-C,C,5500,11017.06,0.0
0.088,0.084,07-16-2019,07-26-2019,BTC-26JUL19-10500-C,C,10500,10738.546269063676,15.0
0.034,0.0315,07-16-2019,07-19-2019,BTC-19JUL19-10500-P,P,10500,10725.044632180154,57.8
0.029,0.024,07-16-2019,12-27-2019,BTC-27DEC19-40000-C,C,40000,11017.06,6.1
0.001,,07-16-2019,07-26-2019,BTC-26JUL19-6000-P,P,6000,10738.546269063676,1.0
0.978,0.0055,07-16-2019,12-27-2019,BTC-27DEC19-3000-C,C,3000,11017.06,0.0
1.5155,0.004,07-16-2019,12-27-2019,BTC-27DEC19-18000-P,P,18000,11016.52,0.0
0.4045,0.313,07-16-2019,07-26-2019,BTC-26JUL19-14500-P,P,14500,10738.546269063676,0.0
0.032,0.029,07-16-2019,07-19-2019,BTC-19JUL19-11000-C,C,11000,10725.582521210443,336.3
1.075,0.0045,07-16-2019,09-27-2019,BTC-27SEP19-15000-P,P,15000,10854.73,0.0
1.8,0.0045,07-16-2019,09-27-2019,BTC-27SEP19-22000-P,P,22000,10854.73,0.0
0.021,0.016,07-16-2019,12-27-2019,BTC-27DEC19-4500-P,P,4500,11016.52,0.1
,,07-16-2019,12-27-2019,BTC-27DEC19-32000-P,P,32000,11016.52,0.0
0.1955,0.1865,07-16-2019,09-27-2019,BTC-27SEP19-11000-P,P,11000,10854.73,18.4
0.0015,0.0005,07-16-2019,12-27-2019,BTC-27DEC19-1500-P,P,1500,11016.52,0.0
0.001,,07-16-2019,07-26-2019,BTC-26JUL19-21000-C,C,21000,10738.546269063676,0.0
0.007,0.0045,07-16-2019,09-27-2019,BTC-27SEP19-4750-P,P,4750,10855.27,20.0
0.0055,0.0035,07-16-2019,07-19-2019,BTC-19JUL19-12500-C,C,12500,10725.582521210443,78.7
0.002,0.0005,07-16-2019,07-26-2019,BTC-26JUL19-18000-C,C,18000,10738.546269063676,37.7
0.028,0.0255,07-16-2019,07-26-2019,BTC-26JUL19-12500-C,C,12500,10738.546269063676,16.8
0.002,0.0015,07-16-2019,07-19-2019,BTC-19JUL19-13500-C,C,13500,10725.582521210443,12.4
0.494,0.396,07-16-2019,07-19-2019,BTC-19JUL19-15500-P,P,15500,10725.582521210443,0.0
0.001,,07-16-2019,07-26-2019,BTC-26JUL19-20000-C,C,20000,10738.546269063676,1.0
0.095,0.0885,07-16-2019,07-26-2019,BTC-26JUL19-11000-P,P,11000,10738.546269063676,49.3
0.051,0.0465,07-16-2019,09-27-2019,BTC-27SEP19-18000-C,C,18000,10854.73,8.6
0.0005,,07-16-2019,07-19-2019,BTC-19JUL19-15500-C,C,15500,10725.582521210443,1.0
0.446,0.3515,07-16-2019,07-19-2019,BTC-19JUL19-15000-P,P,15000,10725.582521210443,0.0
0.123,0.117,07-16-2019,09-27-2019,BTC-27SEP19-13000-C,C,13000,10854.73,2.7
0.0205,0.016,07-16-2019,12-27-2019,BTC-27DEC19-48000-C,C,48000,11016.52,10.0
0.9125,0.0045,07-16-2019,09-27-2019,BTC-27SEP19-3000-C,C,3000,10854.73,0.0
0.016,0.0135,07-16-2019,07-26-2019,BTC-26JUL19-13500-C,C,13500,10738.546269063676,56.2
0.2555,0.1735,07-16-2019,07-19-2019,BTC-19JUL19-13000-P,P,13000,10725.582521210443,0.0
0.25,0.168,07-16-2019,07-19-2019,BTC-19JUL19-8500-C,C,8500,10725.582521210443,0.0
0.3485,0.26,07-16-2019,07-26-2019,BTC-26JUL19-7500-C,C,7500,10738.546269063676,0.0
0.006,0.003,07-16-2019,09-27-2019,BTC-27SEP19-4500-P,P,4500,10854.73,85.0
,0.0005,07-16-2019,12-27-2019,BTC-27DEC19-40000-P,P,40000,11016.52,0.0
0.013,0.0095,07-16-2019,09-27-2019,BTC-27SEP19-5500-P,P,5500,10855.27,0.0
0.0575,0.051,07-16-2019,12-27-2019,BTC-27DEC19-28000-C,C,28000,11016.52,0.0
0.214,0.204,07-16-2019,12-27-2019,BTC-27DEC19-13000-C,C,13000,11016.52,2.2
0.0025,0.0015,07-16-2019,07-26-2019,BTC-26JUL19-7000-P,P,7000,10738.546269063676,9.0
0.0115,0.009,07-16-2019,09-27-2019,BTC-27SEP19-30000-C,C,30000,10855.27,0.1
0.0015,0.0005,07-16-2019,09-27-2019,BTC-27SEP19-2500-P,P,2500,10854.73,9.3
0.27,0.26,07-16-2019,12-27-2019,BTC-27DEC19-11000-C,C,11000,11016.52,4.2
0.016,0.0145,07-16-2019,07-19-2019,BTC-19JUL19-10000-P,P,10000,10725.582521210443,267.8
0.0025,0.0005,07-16-2019,12-27-2019,BTC-27DEC19-2000-P,P,2000,11017.06,0.0
0.59,0.4865,07-16-2019,07-19-2019,BTC-19JUL19-16500-P,P,16500,10725.044632180154,0.0
0.1915,0.182,07-16-2019,12-27-2019,BTC-27DEC19-14000-C,C,14000,11016.52,0.4
0.367,0.2775,07-16-2019,09-27-2019,BTC-27SEP19-8000-C,C,8000,10854.73,1.5
0.0175,0.014,07-16-2019,09-27-2019,BTC-27SEP19-26000-C,C,26000,10854.73,4.9
0.003,0.002,07-16-2019,07-26-2019,BTC-26JUL19-17000-C,C,17000,10738.546269063676,25.1
0.018,0.0145,07-16-2019,12-27-2019,BTC-27DEC19-52000-C,C,52000,11016.52,30.8
0.0965,0.09,07-16-2019,09-27-2019,BTC-27SEP19-9000-P,P,9000,10854.73,5.8
,0.006,07-16-2019,07-26-2019,BTC-26JUL19-7000-C,C,7000,10738.546269063676,0.0
0.78,0.0075,07-16-2019,12-27-2019,BTC-27DEC19-3500-C,C,3500,11016.52,0.0
0.3045,0.2935,07-16-2019,12-27-2019,BTC-27DEC19-10000-C,C,10000,11017.06,8.8
0.714,0.005,07-16-2019,09-27-2019,BTC-27SEP19-4250-C,C,4250,10854.73,0.0
0.9825,0.0135,07-16-2019,12-27-2019,BTC-27DEC19-2000-C,C,2000,11016.52,0.0
0.004,0.0015,07-16-2019,09-27-2019,BTC-27SEP19-3750-P,P,3750,10854.73,0.0
0.61,0.592,07-16-2019,12-27-2019,BTC-27DEC19-16000-P,P,16000,11016.52,0.0
0.2685,0.2575,07-16-2019,12-27-2019,BTC-27DEC19-11000-P,P,11000,11017.06,8.5
0.019,0.016,07-16-2019,07-26-2019,BTC-26JUL19-9000-P,P,9000,10738.546269063676,215.8
1.8665,0.0055,07-16-2019,12-27-2019,BTC-27DEC19-22000-P,P,22000,11016.52,0.0
0.4605,0.3645,07-16-2019,12-27-2019,BTC-27DEC19-7500-C,C,7500,11016.52,0.0
0.148,0.14,07-16-2019,07-26-2019,BTC-26JUL19-9500-C,C,9500,10738.546269063676,1.0
0.001,,07-16-2019,09-27-2019,BTC-27SEP19-2000-P,P,2000,10854.73,0.5
0.2595,0.177,07-16-2019,07-26-2019,BTC-26JUL19-8500-C,C,8500,10738.546269063676,0.0
0.9855,0.019,07-16-2019,12-27-2019,BTC-27DEC19-1500-C,C,1500,11017.06,0.0
1.493,0.0045,07-16-2019,09-27-2019,BTC-27SEP19-20000-P,P,20000,10854.73,0.0
0.3975,0.3065,07-16-2019,07-19-2019,BTC-19JUL19-14500-P,P,14500,10725.582521210443,0.0
0.0855,0.08,07-16-2019,09-27-2019,BTC-27SEP19-15000-C,C,15000,10855.27,14.5
0.0285,0.0245,07-16-2019,09-27-2019,BTC-27SEP19-22000-C,C,22000,10855.27,6.6
,,07-16-2019,09-27-2019,BTC-27SEP19-26000-P,P,26000,10855.27,0.0
,,07-16-2019,07-26-2019,BTC-26JUL19-21000-P,P,21000,10738.546269063676,0.0
0.1615,0.1515,07-16-2019,12-27-2019,BTC-27DEC19-9000-P,P,9000,11016.52,6.6
,,07-16-2019,12-27-2019,BTC-27DEC19-44000-P,P,44000,11017.06,0.0
0.1165,0.1085,07-16-2019,12-27-2019,BTC-27DEC19-8000-P,P,8000,11016.52,13.0
0.922,0.0045,07-16-2019,09-27-2019,BTC-27SEP19-2500-C,C,2500,10854.73,0.0
0.021,0.019,07-16-2019,07-26-2019,BTC-26JUL19-13000-C,C,13000,10738.546269063676,20.2
0.066,0.059,07-16-2019,12-27-2019,BTC-27DEC19-26000-C,C,26000,11016.52,12.2
0.212,0.203,07-16-2019,12-27-2019,BTC-27DEC19-10000-P,P,10000,11016.52,17.0
0.0495,0.0475,07-16-2019,07-26-2019,BTC-26JUL19-11500-C,C,11500,10738.546269063676,13.9
0.0015,0.0005,07-16-2019,07-19-2019,BTC-19JUL19-8500-P,P,8500,10725.044632180154,115.3
0.5995,0.4945,07-16-2019,09-27-2019,BTC-27SEP19-5000-C,C,5000,10854.73,0.0
0.1255,0.118,07-16-2019,07-19-2019,BTC-19JUL19-9500-C,C,9500,10725.582521210443,0.4
,0.0005,07-16-2019,07-26-2019,BTC-26JUL19-6000-C,C,6000,10738.546269063676,0.0
,,07-16-2019,07-26-2019,BTC-26JUL19-18000-P,P,18000,10738.546269063676,0.0
2.043,0.0055,07-16-2019,12-27-2019,BTC-27DEC19-24000-P,P,24000,11016.52,0.0
0.0765,0.0725,07-16-2019,12-27-2019,BTC-27DEC19-7000-P,P,7000,11017.06,2.2
0.007,0.004,07-16-2019,12-27-2019,BTC-27DEC19-3000-P,P,3000,11016.52,0.1
0.35,0.2615,07-16-2019,07-19-2019,BTC-19JUL19-14000-P,P,14000,10725.582521210443,0.0
0.077,0.0695,07-16-2019,12-27-2019,BTC-27DEC19-24000-C,C,24000,11016.52,4.0
0.98,0.0135,07-16-2019,12-27-2019,BTC-27DEC19-2500-C,C,2500,11016.52,0.0
0.0005,,07-16-2019,07-19-2019,BTC-19JUL19-16500-C,C,16500,10725.582521210443,0.0
,0.001,07-16-2019,12-27-2019,BTC-27DEC19-52000-P,P,52000,11017.06,0.0
0.0015,0.0005,07-16-2019,07-26-2019,BTC-26JUL19-6500-P,P,6500,10738.013168917108,4.0
0.0005,,07-16-2019,07-19-2019,BTC-19JUL19-16000-C,C,16000,10725.582521210443,0.0
,,07-16-2019,07-26-2019,BTC-26JUL19-15500-P,P,15500,10738.546269063676,0.0
0.3595,0.271,07-16-2019,07-26-2019,BTC-26JUL19-14000-P,P,14000,10738.546269063676,0.0
0.022,0.0205,07-16-2019,12-27-2019,BTC-27DEC19-44000-C,C,44000,11016.52,8.2
0.703,0.002,07-16-2019,09-27-2019,BTC-27SEP19-4500-C,C,4500,10854.73,0.0
0.2545,0.246,07-16-2019,09-27-2019,BTC-27SEP19-12000-P,P,12000,10854.73,0.4
0.002,0.0005,07-16-2019,09-27-2019,BTC-27SEP19-3000-P,P,3000,10855.27,0.3
0.067,0.0625,07-16-2019,07-26-2019,BTC-26JUL19-10500-P,P,10500,10738.546269063676,45.6
0.003,0.001,07-16-2019,09-27-2019,BTC-27SEP19-3250-P,P,3250,10854.73,0.0
0.542,0.4415,07-16-2019,07-19-2019,BTC-19JUL19-16000-P,P,16000,10725.582521210443,0.0
0.9665,0.3425,07-16-2019,12-27-2019,BTC-27DEC19-6500-C,C,6500,11016.52,0.0
0.7435,0.161,07-16-2019,09-27-2019,BTC-27SEP19-3500-C,C,3500,10854.73,0.0
0.0375,0.033,07-16-2019,12-27-2019,BTC-27DEC19-5500-P,P,5500,11017.06,0.5
